<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;share_price;<VOL>
PLZL;D;20200122;0;7374.5000000;7397.0000000;7307.5000000;7380.0000000;49891
PLZL;D;20200123;0;7382.0000000;7400.0000000;7330.0000000;7377.5000000;61975
PLZL;D;20200124;0;7389.5000000;7448.5000000;7343.0000000;7448.5000000;63054
PLZL;D;20200127;0;7500.5000000;7869.0000000;7500.0000000;7857.0000000;352576
PLZL;D;20200128;0;7856.0000000;7879.0000000;7710.5000000;7775.0000000;211511
PLZL;D;20200129;0;7750.0000000;7789.0000000;7608.0000000;7752.0000000;119710
PLZL;D;20200130;0;7770.0000000;7962.5000000;7770.0000000;7819.5000000;129810
PLZL;D;20200131;0;7794.0000000;7845.0000000;7701.0000000;7814.5000000;92492
PLZL;D;20200203;0;7821.5000000;7922.0000000;7622.5000000;7698.0000000;150279
PLZL;D;20200204;0;7680.5000000;7684.0000000;7459.0000000;7529.0000000;181013
PLZL;D;20200205;0;7550.5000000;7597.0000000;7340.5000000;7481.0000000;152262
PLZL;D;20200206;0;7460.5000000;7617.0000000;7415.0000000;7562.0000000;108073
PLZL;D;20200207;0;7568.5000000;7815.0000000;7501.0000000;7765.5000000;150270
PLZL;D;20200210;0;7805.0000000;7915.5000000;7770.5000000;7915.5000000;159813
PLZL;D;20200211;0;7869.5000000;7998.5000000;7833.5000000;7895.5000000;156715
PLZL;D;20200212;0;7885.0000000;7885.0000000;7717.0000000;7838.5000000;102828
PLZL;D;20200213;0;7893.0000000;7985.0000000;7882.0000000;7968.5000000;75198
PLZL;D;20200214;0;7945.0000000;8041.0000000;7850.0000000;8003.0000000;90180
PLZL;D;20200217;0;7998.0000000;8016.0000000;7883.0000000;7922.0000000;56215
PLZL;D;20200218;0;7979.5000000;8065.0000000;7945.5000000;8000.0000000;113137
PLZL;D;20200219;0;8068.5000000;8195.0000000;8038.5000000;8111.0000000;113233
PLZL;D;20200220;0;8130.0000000;8315.5000000;8104.5000000;8200.0000000;264359
PLZL;D;20200221;0;8300.0000000;8618.5000000;8273.0000000;8507.5000000;312609
PLZL;D;20200225;0;8755.0000000;9127.5000000;8690.5000000;8780.0000000;423391
PLZL;D;20200226;0;8828.0000000;9088.5000000;8600.0000000;8644.5000000;298543
PLZL;D;20200227;0;8944.0000000;8960.5000000;8725.0000000;8901.5000000;170836
PLZL;D;20200228;0;8968.0000000;8968.0000000;8260.0000000;8464.0000000;416036
PLZL;D;20200302;0;8556.5000000;8678.0000000;8258.5000000;8540.5000000;202501
PLZL;D;20200303;0;8475.0000000;8620.0000000;8271.0000000;8591.0000000;249693
PLZL;D;20200304;0;8652.0000000;8688.0000000;8470.0000000;8566.5000000;153663
PLZL;D;20200305;0;8594.0000000;8650.0000000;8321.0000000;8628.0000000;341689
PLZL;D;20200306;0;8708.0000000;9010.0000000;8693.5000000;8885.0000000;272850
PLZL;D;20200310;0;9000.5000000;9529.5000000;9000.5000000;9381.5000000;381956
PLZL;D;20200311;0;9480.0000000;9480.0000000;9220.0000000;9372.5000000;175500
PLZL;D;20200312;0;9345.0000000;9460.0000000;8702.0000000;8970.0000000;359751
PLZL;D;20200313;0;8823.5000000;9138.0000000;8721.0000000;8744.5000000;298653
PLZL;D;20200316;0;8880.5000000;9181.0000000;7650.0000000;7954.0000000;488513
PLZL;D;20200317;0;7898.5000000;8344.0000000;7302.0000000;8121.0000000;416971
PLZL;D;20200318;0;7950.0000000;8809.0000000;7752.0000000;8383.5000000;357747
PLZL;D;20200319;0;8381.0000000;8532.0000000;7917.5000000;8456.5000000;354454
PLZL;D;20200320;0;8625.5000000;8799.5000000;8200.0000000;8495.5000000;354008
PLZL;D;20200323;0;8470.0000000;8603.0000000;8050.0000000;8423.0000000;267035
PLZL;D;20200324;0;8690.0000000;9544.0000000;8608.0000000;9520.5000000;321970
PLZL;D;20200325;0;9600.0000000;10095.5000000;9597.5000000;9995.0000000;319472
PLZL;D;20200326;0;10038.0000000;11088.5000000;10016.5000000;11047.5000000;358050
PLZL;D;20200327;0;11053.0000000;11053.0000000;10503.5000000;10820.5000000;197232
PLZL;D;20200330;0;10851.0000000;11295.0000000;10618.5000000;11172.5000000;236172
PLZL;D;20200331;0;11127.0000000;11484.0000000;10552.5000000;10637.5000000;344571
PLZL;D;20200401;0;10670.0000000;11089.0000000;9952.0000000;10038.0000000;318091
PLZL;D;20200402;0;10080.0000000;10476.0000000;9850.0000000;10354.5000000;324167
PLZL;D;20200403;0;10355.0000000;10456.0000000;10130.0000000;10394.5000000;160413
PLZL;D;20200406;0;10450.5000000;11000.0000000;10426.5000000;10818.5000000;205297
PLZL;D;20200407;0;11000.0000000;11111.0000000;10710.0000000;10970.0000000;137525
PLZL;D;20200408;0;10950.0000000;11070.0000000;10846.5000000;11050.5000000;161511
